n,grid,goals,static,visit_order,BFS_steps
8,  0 1 2 3 4 5 6 7\n0 S . . . . . X .\n1 X . . 1 . X X .\n2 . . X . . . . .\n3 . . . . . . . .\n4 3 X . X . X . 2\n5 . . . . . . . .\n6 . . . . . . . .\n7 . X . X . X . .,"{1: (1, 3), 2: (4, 7), 3: (4, 0)}","[(2, 2), (1, 5), (7, 1), (1, 0), (1, 6), (7, 5), (4, 1), (0, 6), (4, 3), (7, 3), (4, 5)]","[(0, 0), (0, 1), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 7), (3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0), (4, 0)]",20
8,  0 1 2 3 4 5 6 7\n0 S . X X . 1 . .\n1 X . . 2 X . . .\n2 . . . . . . . .\n3 . . . . . . . .\n4 . . . . . 3 X .\n5 . X . . . . . X\n6 . X X . . . . .\n7 X . X . . X . .,"{1: (0, 5), 2: (1, 3), 3: (4, 5)}","[(1, 0), (0, 3), (7, 2), (7, 0), (6, 1), (0, 2), (5, 7), (4, 6), (1, 4), (6, 2), (7, 5), (5, 1)]","[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (1, 5), (0, 5), (1, 5), (2, 5), (2, 4), (2, 3), (1, 3), (2, 3), (3, 3), (4, 3), (4, 4), (4, 5)]",19
8,  0 1 2 3 4 5 6 7\n0 S . . . X . . .\n1 . 1 . . . X . .\n2 . . . . . X . .\n3 . . . . . . . .\n4 . 3 . X . . . .\n5 . . . . . . . .\n6 . . 2 . . X . .\n7 . . . . . . . X,"{1: (1, 1), 2: (6, 2), 3: (4, 1)}","[(0, 4), (6, 5), (1, 5), (4, 3), (7, 7), (2, 5)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (3, 2), (4, 2), (5, 2), (6, 2), (5, 2), (4, 2), (4, 1)]",11
8,  0 1 2 3 4 5 6 7\n0 S . . . . . . .\n1 2 . . X . X . X\n2 . X . . . . X X\n3 . . . . X 1 . X\n4 . X . X X X . .\n5 . . . . . . . .\n6 . . . . . . X .\n7 X X . X 3 . . .,"{1: (3, 5), 2: (1, 0), 3: (7, 4)}","[(2, 6), (4, 1), (4, 5), (3, 7), (7, 3), (2, 1), (1, 7), (2, 7), (1, 3), (3, 4), (7, 1), (4, 4), (7, 0), (4, 3), (6, 6), (1, 5)]","[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (2, 3), (2, 4), (2, 5), (3, 5), (2, 5), (2, 4), (2, 3), (2, 2), (1, 2), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (7, 4)]",25
8,  0 1 2 3 4 5 6 7\n0 S X . X . . . X\n1 . . . . . . . .\n2 . . . . . . . .\n3 . X . . X . . .\n4 X . . . 2 3 X 1\n5 . X X . X . . .\n6 X . . . X . X .\n7 . . . . . X . X,"{1: (4, 7), 2: (4, 4), 3: (4, 5)}","[(6, 6), (7, 7), (0, 3), (5, 2), (0, 7), (7, 5), (5, 1), (5, 4), (4, 6), (6, 4), (4, 0), (0, 1), (3, 4), (3, 1), (6, 0)]","[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (3, 7), (4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (4, 4), (4, 5)]",21
8,  0 1 2 3 4 5 6 7\n0 S . 3 X . . . .\n1 . . . . . . X .\n2 . . . X . X . X\n3 . . . . X . . .\n4 . . . . . . . .\n5 . 1 . 2 . X X .\n6 . . . . X . . .\n7 . . . X . . . .,"{1: (5, 1), 2: (5, 3), 3: (0, 2)}","[(2, 5), (7, 3), (6, 4), (2, 3), (5, 5), (3, 4), (5, 6), (2, 7), (0, 3), (1, 6)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (4, 3), (3, 3), (3, 2), (2, 2), (1, 2), (0, 2)]",14
8,  0 1 2 3 4 5 6 7\n0 S . . 2 . . . .\n1 . . . . X . X X\n2 . . . . . . . .\n3 . . . . . . . 1\n4 . X . . . X . .\n5 . . . X X . 3 .\n6 . . . . . . . .\n7 . X X . X X X X,"{1: (3, 7), 2: (0, 3), 3: (5, 6)}","[(7, 2), (1, 7), (5, 3), (5, 4), (7, 5), (7, 7), (1, 4), (1, 6), (4, 1), (4, 5), (7, 4), (7, 6), (7, 1)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (2, 7), (2, 6), (2, 5), (1, 5), (0, 5), (0, 4), (0, 3), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (5, 6)]",25
8,  0 1 2 3 4 5 6 7\n0 S X . . . . X .\n1 . . . X . X . .\n2 2 . . . . X . .\n3 . . X . . . . X\n4 1 . . . . . . .\n5 . . . . . . . .\n6 . . X . X X . .\n7 3 . X . . . X .,"{1: (4, 0), 2: (2, 0), 3: (7, 0)}","[(6, 2), (7, 6), (7, 2), (1, 5), (1, 3), (6, 5), (2, 5), (0, 6), (6, 4), (3, 7), (0, 1), (3, 2)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (4, 0), (3, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0)]",13
8,  0 1 2 3 4 5 6 7\n0 S . . . X X X X\n1 . . 2 . . . . .\n2 . . . . . . . .\n3 . X . . . . X .\n4 . . . . 1 X . .\n5 . . 3 . . X . X\n6 . . . X . X . .\n7 X X X . X X . .,"{1: (4, 4), 2: (1, 2), 3: (5, 2)}","[(3, 1), (5, 7), (7, 2), (0, 7), (7, 5), (0, 6), (5, 5), (7, 0), (0, 4), (7, 4), (3, 6), (4, 5), (6, 3), (7, 1), (0, 5), (6, 5)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (1, 4), (1, 3), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]",17
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . .\n1 . X 2 X . . . . 1\n2 . . . . X . X . X\n3 . . X . . . . . .\n4 . . . . . X . X .\n5 X X . . . . 3 . X\n6 . . . X . . . . .\n7 . . . . X . . . .\n8 . . . X . . . . X,"{1: (1, 8), 2: (1, 2), 3: (5, 6)}","[(2, 6), (2, 8), (5, 8), (1, 3), (6, 3), (4, 7), (4, 5), (7, 4), (2, 4), (8, 3), (1, 1), (5, 1), (5, 0), (3, 2), (8, 8)]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (5, 4), (5, 5), (5, 6)]",25
9,  0 1 2 3 4 5 6 7 8\n0 S . X X . . . . X\n1 . . . 1 . . X . X\n2 X . X . X . . X X\n3 . . . . . X . X .\n4 . . . X 2 . . . X\n5 . . . . . . . . .\n6 . . X . . X . . X\n7 . . . X . . . X X\n8 X X . . . . . . 3,"{1: (1, 3), 2: (4, 4), 3: (8, 8)}","[(0, 3), (7, 8), (2, 8), (2, 4), (8, 1), (4, 3), (2, 0), (3, 7), (3, 5), (8, 0), (4, 8), (6, 8), (0, 2), (6, 5), (7, 7), (2, 7), (7, 3), (1, 6), (0, 8), (1, 8), (2, 2), (6, 2)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)]",16
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . 1 . .\n1 . . . . . . . . .\n2 . . . . . X . . .\n3 . . . . . . . . .\n4 . X . . . . . . .\n5 . 3 . . X . . . X\n6 . . . . . . 2 . X\n7 X . . . . . . . .\n8 X . . . X . . . .,"{1: (0, 6), 2: (6, 6), 3: (5, 1)}","[(2, 5), (6, 8), (5, 8), (4, 1), (5, 4), (7, 0), (8, 0), (8, 4)]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (6, 5), (6, 4), (6, 3), (5, 3), (5, 2), (5, 1)]",18
9,  0 1 2 3 4 5 6 7 8\n0 S . X . . . . X X\n1 . . . . . . . . .\n2 . . X . X X . X .\n3 3 . . . . . . . .\n4 . X . X X X 2 . X\n5 . . . . X . . . .\n6 . . . . . . X . .\n7 . . . . . . . . X\n8 . . . 1 X . . . .,"{1: (8, 3), 2: (4, 6), 3: (3, 0)}","[(4, 1), (4, 5), (8, 4), (0, 8), (4, 3), (6, 6), (4, 8), (0, 7), (7, 8), (4, 4), (2, 5), (2, 4), (2, 2), (0, 2), (5, 4), (2, 7)]","[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (8, 3), (7, 3), (6, 3), (6, 4), (6, 5), (5, 5), (5, 6), (4, 6), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0)]",25
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . 2 . . .\n1 . . . . . . . . .\n2 X . X . . . . . X\n3 . . . X . . . . X\n4 . . . . X . X . .\n5 X 3 . . . . . . .\n6 . . . X . . . . .\n7 . . . X . . 1 X .\n8 . X . . . . . . .,"{1: (7, 6), 2: (0, 5), 3: (5, 1)}","[(8, 1), (6, 3), (2, 0), (7, 7), (2, 2), (5, 0), (3, 8), (3, 3), (4, 4), (4, 6), (7, 3), (2, 8)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1)]",30
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . X\n1 . . . . . . . X .\n2 X . . . . . X . .\n3 . X . X . X 3 . .\n4 1 X X X . X . . .\n5 . . X . . . X . X\n6 . . . . . . . . X\n7 2 X . X . X . X .\n8 X X X . . . . . .,"{1: (4, 0), 2: (7, 0), 3: (3, 6)}","[(7, 3), (8, 1), (6, 8), (1, 7), (3, 5), (7, 5), (5, 2), (2, 6), (0, 8), (5, 8), (4, 5), (5, 6), (3, 3), (2, 0), (8, 0), (3, 1), (7, 1), (8, 2), (7, 7), (4, 2), (4, 3), (4, 1)]","[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (6, 3), (6, 2), (6, 1), (5, 1), (5, 0), (4, 0), (5, 0), (6, 0), (7, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6)]",31
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . X\n1 . . . . . . . . .\n2 . . . X . . X . .\n3 . . . . . X . . .\n4 . X X . X . . . X\n5 . . . 1 . . X . .\n6 . 3 . . . . . . .\n7 . . . . . X X . .\n8 X X X 2 X . . . .,"{1: (5, 3), 2: (8, 3), 3: (6, 1)}","[(2, 3), (8, 1), (4, 4), (8, 0), (5, 6), (0, 8), (7, 6), (7, 5), (8, 4), (4, 1), (4, 8), (4, 2), (8, 2), (2, 6), (3, 5)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (7, 3), (6, 3), (6, 2), (6, 1)]",15
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . 3\n1 X . . . X . . X .\n2 . . X . . . X . X\n3 2 . . . . . X X .\n4 . X X X . X . . .\n5 . X X . . . . . .\n6 . . . . . . . . .\n7 . . X . . . . X .\n8 . X 1 . . . . . .,"{1: (8, 2), 2: (3, 0), 3: (0, 8)}","[(4, 1), (5, 1), (5, 2), (2, 6), (1, 4), (7, 7), (4, 2), (4, 5), (2, 8), (3, 6), (4, 3), (1, 7), (2, 2), (7, 2), (3, 7), (1, 0), (8, 1)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 3), (8, 2), (8, 3), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (2, 1), (1, 1), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]",34
9,  0 1 2 3 4 5 6 7 8\n0 S X . . 2 X . . .\n1 . . X X . X . . .\n2 . . . . . . X . .\n3 . . . . 3 . . . .\n4 . . 1 . . . . X .\n5 . X . . . . . X X\n6 . . . . . . X . .\n7 X . . . . X . . .\n8 . . . X . . . . X,"{1: (4, 2), 2: (0, 4), 3: (3, 4)}","[(8, 8), (1, 2), (4, 7), (1, 5), (7, 5), (5, 8), (7, 0), (2, 6), (5, 7), (0, 1), (8, 3), (5, 1), (0, 5), (6, 6), (1, 3)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4), (1, 4), (2, 4), (3, 4)]",15
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . X\n1 . . . . . X . . .\n2 . X X 1 X X X 3 .\n3 X . . . . . . . X\n4 . . . . . . X . X\n5 . . . X . 2 X X X\n6 . . . . . . . X X\n7 . X . . . . . . .\n8 . . . . X X . . .,"{1: (2, 3), 2: (5, 5), 3: (2, 7)}","[(8, 4), (6, 7), (5, 3), (6, 8), (1, 5), (0, 8), (5, 8), (5, 7), (3, 8), (2, 5), (4, 8), (2, 2), (3, 0), (4, 6), (2, 4), (2, 6), (8, 5), (7, 1), (2, 1), (5, 6)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3), (4, 4), (5, 4), (5, 5), (4, 5), (3, 5), (3, 6), (3, 7), (2, 7)]",15
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . X\n1 . . . . X . X X .\n2 . . X . . . . . .\n3 X 1 . 3 . . . X 2\n4 . X X . . . . X .\n5 . . X X X . . . .\n6 . . . X . . . X .\n7 X X . X . . X . .\n8 . . X . X X . . .,"{1: (3, 1), 2: (3, 8), 3: (3, 3)}","[(8, 5), (8, 2), (6, 3), (4, 2), (1, 6), (5, 4), (8, 4), (7, 0), (7, 1), (3, 7), (7, 3), (7, 6), (1, 4), (5, 3), (1, 7), (4, 7), (0, 8), (5, 2), (4, 1), (6, 7), (2, 2), (3, 0)]","[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (2, 1), (1, 1), (1, 2), (1, 3), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (2, 8), (2, 7), (2, 6), (3, 6), (3, 5), (3, 4), (3, 3)]",22
9,  0 1 2 3 4 5 6 7 8\n0 S . . X X X . . X\n1 . . . . . . . . .\n2 2 . . X . . . . .\n3 X . . . . . X . .\n4 . . . X . 3 . . .\n5 . . . . X . . X .\n6 . . X . 1 . . . .\n7 . . . . . . . . .\n8 . . . . X . . . .,"{1: (6, 4), 2: (2, 0), 3: (4, 5)}","[(0, 3), (0, 8), (2, 3), (5, 4), (6, 2), (3, 6), (8, 4), (5, 7), (4, 3), (0, 4), (0, 5), (3, 0)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (5, 3), (6, 3), (6, 4), (6, 3), (5, 3), (5, 2), (4, 2), (3, 2), (2, 2), (2, 1), (2, 0), (2, 1), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (4, 5)]",25
10,  0 1 2 3 4 5 6 7 8 9\n0 S X X X . . . . . X\n1 . . . . . . . . . .\n2 . . X . . X 1 . . .\n3 X X X X . . . . X .\n4 . . X X . X . X X X\n5 . . . . X X . . X .\n6 . X . 3 . . . . X X\n7 . . X . . 2 . . . .\n8 . . . X X . . X . .\n9 . . . . . . X . . .,"{1: (2, 6), 2: (7, 5), 3: (6, 3)}","[(9, 6), (0, 3), (6, 1), (4, 2), (5, 8), (6, 9), (0, 1), (5, 4), (0, 9), (3, 2), (3, 1), (8, 4), (4, 5), (5, 5), (4, 3), (8, 3), (4, 8), (3, 8), (2, 5), (4, 7), (0, 2), (3, 0), (4, 9), (2, 2), (8, 7), (6, 8), (7, 2), (3, 3)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (7, 5), (6, 5), (6, 4), (6, 3)]",17
10,  0 1 2 3 4 5 6 7 8 9\n0 S . 1 X . . . . X .\n1 . . . X . . . . . .\n2 . . . X . . X X . .\n3 . . . . . . . . . .\n4 . X X . . . X . X .\n5 . . . 3 . . X . . .\n6 . X . . . . . . . .\n7 . X . . . . . . . 2\n8 . . . X . . . X . .\n9 X . . . . . . . . .,"{1: (0, 2), 2: (7, 9), 3: (5, 3)}","[(0, 3), (4, 2), (0, 8), (8, 7), (7, 1), (5, 6), (2, 3), (4, 1), (9, 0), (2, 7), (4, 8), (4, 6), (1, 3), (8, 3), (6, 1), (2, 6)]","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 3), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (6, 9), (6, 8), (6, 7), (6, 6), (6, 5), (5, 5), (5, 4), (5, 3)]",24
10,  0 1 2 3 4 5 6 7 8 9\n0 S X . . . . 1 . . .\n1 . X . X 2 . . . 3 .\n2 . . X . X . . . . .\n3 . . . . . . X . X .\n4 . . . . . . . X . .\n5 . . X X X . . . X X\n6 . . X . . . . . . X\n7 X . . . X . X . . X\n8 . . . . . . . X X .\n9 . . . . . X X X . .,"{1: (0, 6), 2: (1, 4), 3: (1, 8)}","[(0, 1), (5, 4), (8, 7), (5, 8), (9, 6), (7, 4), (4, 7), (5, 2), (9, 7), (7, 9), (7, 0), (6, 2), (1, 3), (3, 6), (3, 8), (5, 3), (5, 9), (8, 8), (6, 9), (2, 4), (7, 6), (2, 2), (1, 1), (9, 5)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6), (1, 6), (1, 5), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)]",19
10,  0 1 2 3 4 5 6 7 8 9\n0 S X X . . . . . . .\n1 . . . . . X . . . .\n2 X . X X X . . . . 3\n3 . . . . . . . . . .\n4 . . . X X . X . . X\n5 . . . . . . . . . 1\n6 X . X . . . . . X .\n7 . . . . X . 2 . X .\n8 . . . . X . . . . .\n9 . . X . . . . . . .,"{1: (5, 9), 2: (7, 6), 3: (2, 9)}","[(2, 4), (2, 3), (7, 4), (8, 4), (2, 0), (1, 5), (4, 3), (4, 9), (4, 4), (4, 6), (0, 1), (6, 0), (0, 2), (2, 2), (6, 8), (7, 8), (9, 2), (6, 2)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 8), (5, 7), (6, 7), (7, 7), (7, 6), (6, 6), (5, 6), (5, 7), (4, 7), (3, 7), (2, 7), (2, 8), (2, 9)]",27
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . . . X .\n1 X . . X . X . . . .\n2 . . . . . . . X . X\n3 . . . . 1 . . . . .\n4 . . . . . X . . . .\n5 . . . . . . X X X .\n6 X . 2 . . X . X . .\n7 . . . . . X . . X .\n8 . . . . X . 3 X . X\n9 X . . . . . . X . .,"{1: (3, 4), 2: (6, 2), 3: (8, 6)}","[(5, 7), (8, 4), (2, 9), (6, 7), (5, 8), (7, 5), (6, 5), (4, 5), (0, 8), (2, 7), (8, 9), (8, 7), (1, 0), (1, 3), (9, 7), (7, 8), (5, 6), (6, 0), (9, 0), (1, 5)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 4), (6, 4), (6, 3), (6, 2), (7, 2), (8, 2), (9, 2), (9, 3), (9, 4), (9, 5), (8, 5), (8, 6)]",20
10,  0 1 2 3 4 5 6 7 8 9\n0 S X . . X . . . . .\n1 . 2 . X X . X . . .\n2 . . . X . X . X X .\n3 . . . . . X . . . .\n4 . . . . . . . . . .\n5 . . . . . . X . . .\n6 . . X . . X . X . .\n7 3 . . . . . . . . .\n8 . . X . . X . X X 1\n9 . . . . . . . . . .,"{1: (8, 9), 2: (1, 1), 3: (7, 0)}","[(1, 3), (6, 2), (8, 2), (8, 7), (0, 1), (6, 7), (1, 6), (0, 4), (2, 8), (2, 3), (5, 6), (1, 4), (2, 7), (3, 5), (8, 5), (2, 5), (6, 5), (8, 8)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4), (3, 4), (3, 3), (3, 2), (2, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 0)]",39
10,  0 1 2 3 4 5 6 7 8 9\n0 S . X . . X . . . .\n1 . . X . X . . . 1 X\n2 . . . X . X . . 3 .\n3 . X X . X . . . 2 X\n4 . . . . X . X . . .\n5 X . . X . X X . . .\n6 . . . X X . . . X X\n7 . X . . . . . . . .\n8 . X . X . . X . . X\n9 . . . . . . X . . X,"{1: (1, 8), 2: (3, 8), 3: (2, 8)}","[(0, 5), (6, 4), (2, 5), (1, 2), (1, 4), (3, 2), (9, 9), (1, 9), (5, 0), (4, 6), (9, 6), (5, 6), (4, 4), (8, 6), (3, 1), (2, 3), (8, 3), (5, 3), (6, 8), (5, 5), (6, 9), (8, 9), (0, 2), (7, 1), (8, 1), (6, 3), (3, 4), (3, 9)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (5, 1), (6, 1), (6, 2), (7, 2), (7, 3), (7, 4), (7, 5), (6, 5), (6, 6), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 7), (2, 7), (3, 7), (3, 8), (2, 8)]",26
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . . . X .\n1 X . . X . . . X X .\n2 X X . . . . . . . 2\n3 . . . X X . . . . .\n4 X 1 . . . . . . . .\n5 . . X . . . . . . X\n6 X . . . . X . . X .\n7 . . . . . X . . . .\n8 X X 3 . X . X . . .\n9 X . X X . X . X . .,"{1: (4, 1), 2: (2, 9), 3: (8, 2)}","[(6, 0), (3, 4), (1, 7), (5, 9), (1, 8), (1, 0), (5, 2), (8, 1), (9, 2), (6, 5), (7, 5), (4, 0), (1, 3), (6, 8), (8, 4), (9, 7), (8, 0), (9, 0), (2, 0), (2, 1), (0, 8), (3, 3), (9, 3), (8, 6), (9, 5)]","[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (4, 2), (4, 1), (3, 1), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (4, 8), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (6, 4), (7, 4), (7, 3), (8, 3), (8, 2)]",30
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . 3 . X X . X\n1 X . . X . . . . . .\n2 . 1 . . . . . . . X\n3 X . . . . X . X . .\n4 . . . . . . . . . X\n5 . . . . X . . X . X\n6 X X . . . X . X . X\n7 . . . X X X X . . .\n8 . X X X . . . . . .\n9 . . . . X X . . . 2,"{1: (2, 1), 2: (9, 9), 3: (0, 4)}","[(6, 7), (5, 7), (7, 6), (9, 4), (0, 9), (5, 4), (1, 0), (9, 5), (7, 5), (6, 0), (0, 7), (3, 5), (7, 3), (3, 7), (5, 9), (6, 5), (3, 0), (8, 2), (0, 6), (8, 3), (4, 9), (1, 3), (7, 4), (6, 9), (6, 1), (2, 9), (8, 1)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (9, 9), (8, 9), (7, 9), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (1, 7), (1, 6), (1, 5), (0, 5), (0, 4)]",32
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . X X X X . X\n1 . X . . X X X X X .\n2 . . X . . . . . . .\n3 3 . . . . . X . . .\n4 . X 1 . X . X . X .\n5 . X . . . X . . . X\n6 . . . . . X X . . .\n7 . . 2 . . . . . . .\n8 . . . X . . . X . .\n9 . X . X X . . . . .,"{1: (4, 2), 2: (7, 2), 3: (3, 0)}","[(1, 4), (5, 9), (4, 6), (2, 2), (3, 6), (4, 4), (0, 4), (0, 5), (4, 1), (0, 9), (9, 3), (9, 4), (1, 1), (0, 6), (8, 7), (4, 8), (8, 3), (6, 5), (6, 6), (1, 8), (1, 6), (1, 7), (0, 7), (9, 1), (5, 5), (5, 1), (1, 5)]","[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (3, 1), (3, 0)]",15
10,  0 1 2 3 4 5 6 7 8 9\n0 S X . . . X . . . .\n1 . X . X . . . X . .\n2 . 3 X . X . X X . .\n3 . . X . 1 . . 2 X .\n4 . . . . . . . . . .\n5 X . X . . X X . . .\n6 . . X . . . . X . X\n7 . . . . X . . . . .\n8 . . . X . . . X . .\n9 . . X . . . . . . X,"{1: (3, 4), 2: (3, 7), 3: (2, 1)}","[(5, 6), (2, 6), (0, 1), (8, 3), (2, 4), (3, 8), (0, 5), (7, 4), (9, 9), (8, 7), (6, 2), (9, 2), (1, 7), (2, 7), (3, 2), (5, 0), (5, 5), (1, 1), (6, 7), (1, 3), (5, 2), (6, 9), (2, 2)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (3, 1), (2, 1)]",21
